int,int,string,int,float,int,int,float,float,float,int,int,int,int,float,float,float,float,float,float,float,float,float,float,float,float,float,float
17,0,"CREATURE\HUMLBLACKSMITH\HUMLBLACKSMITH.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,17,0.611200,2.031000,0.000000,-0.294740,-0.582371,-0.007053,0.519454,0.555572,2.008623,1.000000,1.000000,0.000000,0.000000,0.000000
18,0,"CREATURE\HUMLMAGICSMITH\HUMLMAGICSMITH.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,18,0.509700,2.031000,0.000000,-0.294740,-0.689696,-0.007052,0.617837,0.555572,2.275541,1.000000,1.000000,0.000000,0.000000,0.000000
19,0,"CREATURE\HUMLMERCHANT\HUMLMERCHANT.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,19,0.509700,2.031000,0.000000,-0.293407,-0.581778,-0.006811,0.515013,0.554914,2.010396,1.000000,1.000000,0.000000,0.000000,0.000000
20,0,"CREATURE\HUMLUPPERCITIZEN\HUMLUPPERCITIZEN.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,20,0.509700,2.031000,0.000000,-0.293581,-0.581822,-0.006811,0.515113,0.554888,2.050255,1.000000,1.000000,0.000000,0.000000,0.000000
21,0,"CREATURE\HUMNGUARDBIG\HUMNGUARDBIG.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,21,0.509700,2.031000,0.000000,-0.524196,-0.470910,-0.002551,0.428390,0.517416,2.227501,1.000000,1.000000,0.000000,0.000000,0.000000
22,0,"CREATURE\HUMSCITIZENMID\HUMSCITIZENMID.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,22,0.611200,2.031000,1.166689,-0.717700,-0.869459,-0.000788,0.368035,0.749464,2.025258,1.000000,1.000000,0.000000,0.000000,0.000000
23,0,"CREATURE\HUMSMERCHANT\HUMSMERCHANT.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,23,0.509700,2.031000,0.000000,-0.243610,-0.537323,-0.001524,0.503073,0.540581,2.024281,1.000000,1.000000,0.000000,0.000000,0.000000
24,2,"CREATURE\INFERNAL\INFERNAL.M2",1,1.000000,1,5,18.000000,12.000000,1.000000,0,0,10,24,0.611112,2.031280,0.000000,-1.439007,-2.751234,0.030889,1.059780,2.727136,4.129121,1.000000,1.000000,0.000000,0.000000,0.000000
25,0,"CREATURE\KEEPEROFTHEGROVE\KEEPEROFTHEGROVE.M2",1,1.000000,1,6,18.000000,12.000000,1.000000,0,0,0,25,0.611112,2.031280,1.995838,-1.852656,-1.001164,-0.021839,1.470198,1.580210,4.138807,1.000000,1.000000,0.000000,0.000000,0.000000
26,0,"CREATURE\KOBOLD\KOBOLD.M2",0,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,26,0.611200,2.031000,0.885781,-0.981126,-0.552605,-0.008109,0.943607,0.480619,1.235099,1.000000,1.000000,0.000000,0.000000,0.000000
27,4096,"CREATURE\KODOBEAST\KODOBEAST.M2",3,1.000000,1,1,18.000000,12.000000,1.000000,0,1,10,27,0.611200,2.031000,3.542870,-7.381371,-2.445921,-0.013299,3.354583,2.273486,5.366937,1.000000,3.000000,0.000000,0.000000,0.000000
28,2,,1,1.000000,1,0,18.000000,12.000000,1.000000,0,0,0,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
29,12288,"CREATURE\LOSTONE\LOSTONE.M2",1,1.000000,1,4,18.000000,12.000000,1.000000,0,0,0,29,0.611200,2.031000,1.043115,-0.569406,-0.520267,-0.004756,0.308936,0.531255,1.948932,1.000000,1.000000,0.000000,0.000000,0.000000
30,4098,"CREATURE\MINESPIDER\MINESPIDER.M2",1,1.000000,2,6,9.000000,6.000000,1.000000,0,0,0,30,0.611112,2.031280,0.000000,-2.203223,-2.200133,-0.017908,3.884322,2.197358,2.039114,1.000000,1.000000,0.000000,0.000000,0.000000
31,0,"CREATURE\MURLOC\MURLOC.M2",1,1.000000,1,4,18.000000,12.000000,1.000000,0,0,0,31,0.611112,2.031280,0.387196,-0.604078,-0.496664,-0.001952,0.433333,0.493416,1.285222,1.000000,1.000000,0.000000,0.000000,0.000000
32,0,"CREATURE\OGRE\OGRE.M2",3,1.000000,1,4,18.000000,12.000000,1.000000,0,0,10,32,0.611112,2.031280,1.346687,-0.571247,-0.994102,-0.010560,0.516214,0.989905,2.880224,1.000000,1.000000,0.000000,0.000000,0.000000
33,0,"CREATURE\OGRE\OGREMAGE.M2",3,1.000000,1,1,18.000000,12.000000,1.000000,0,0,10,33,0.611112,2.031280,1.346690,-0.571247,-0.994103,-0.010559,0.516214,0.989905,2.883806,1.000000,1.000000,0.000000,0.000000,0.000000
34,0,"CREATURE\RAPTOR\RAPTOR.M2",1,1.000000,1,5,18.000000,12.000000,1.000000,0,0,0,34,0.611112,2.031280,2.520609,-4.362841,-1.163289,-0.062384,1.989485,2.126702,3.214469,1.000000,1.000000,0.000000,0.000000,0.000000
35,2,"CREATURE\SEAGIANT\SEAGIANT.M2",4,1.000000,1,4,18.000000,12.000000,1.000000,0,1,11,35,0.611200,2.031000,5.148509,-2.380527,-4.277986,-0.150071,1.688339,4.446599,7.892841,0.800000,0.750000,0.000000,0.000000,0.000000
36,4097,"CREATURE\SILITHID\SILITHID.M2",1,1.000000,2,1,1.000000,1.000000,1.000000,0,0,0,36,0.611112,2.031280,0.000000,-2.681853,-1.708342,-0.014994,1.425311,1.710168,2.374973,1.000000,1.000000,0.000000,0.000000,0.000000
37,2,"CREATURE\SUCCUBUS\SUCCUBUS.M2",1,1.000000,1,3,18.000000,12.000000,1.000000,0,0,0,37,0.611200,2.031000,0.000000,-1.638376,-0.520597,-0.004690,0.259531,1.234260,2.054406,1.000000,1.000000,0.000000,0.000000,0.000000
38,2,"CREATURE\TALLSTRIDER\TALLSTRIDER.M2",1,1.000000,1,5,18.000000,12.000000,1.000000,0,0,0,38,0.611112,2.031280,2.301098,-1.672168,-0.780713,-0.028658,1.430014,0.890359,3.252123,1.000000,1.000000,0.000000,0.000000,0.000000
39,2,"CREATURE\TITANFEMALE\TITANFEMALE.M2",4,1.000000,1,1,18.000000,12.000000,1.000000,0,10,11,39,0.611200,2.031000,4.548936,-1.152977,-1.854827,-0.020017,1.214469,1.141872,7.336498,1.000000,1.000000,0.000000,0.000000,0.000000
40,2,"CREATURE\TITANMALE\TITANMALE.M2",3,1.000000,1,1,18.000000,12.000000,1.000000,0,1,12,40,0.611112,2.031280,4.309963,-1.823326,-3.115966,-0.004758,1.731788,2.647925,7.397988,1.000000,1.000000,0.000000,0.000000,0.000000
41,0,"CREATURE\TROGLODYTE\TROGLODYTE.M2",1,1.000000,1,4,18.000000,12.000000,1.000000,0,0,0,41,0.611112,2.031280,0.811947,-0.253640,-0.832327,-0.000682,1.034496,0.856486,1.882737,1.000000,1.000000,0.000000,0.000000,0.000000
42,0,"CREATURE\TROLL\TROLL.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,42,0.611112,2.031280,1.579596,-1.103440,-0.704511,0.000752,0.474420,0.761578,2.267059,1.000000,1.000000,0.000000,0.000000,0.000000
43,4112,"CREATURE\WOLF\WOLF.M2",1,1.000000,1,7,15.000000,10.000000,1.000000,0,0,0,43,0.611112,2.031280,0.000000,-2.256680,-0.634410,0.001694,1.586745,0.665418,1.702782,1.000000,1.000000,0.000000,0.000000,0.000000
44,0,"CREATURE\WORGEN\WORGEN.M2",1,1.000000,1,7,18.000000,12.000000,1.000000,0,0,0,44,0.611200,2.031000,1.294047,-0.655967,-1.176232,0.000852,0.702095,1.080357,2.290177,1.000000,1.000000,0.000000,0.000000,0.000000
45,2,"CREATURE\GHOUL\GHOUL.M2",1,1.000000,2,1,18.000000,12.000000,1.000000,0,0,0,45,0.611200,2.031000,1.217973,-0.586957,-1.358720,-0.028185,1.177890,1.533030,1.941079,1.000000,1.000000,0.000000,0.000000,0.000000
47,8192,"CREATURE\DRAGONSPAWN\DRAGONSPAWN.M2",1,1.000000,1,5,18.000000,12.000000,1.000000,0,0,0,47,0.611112,2.031280,1.451612,-2.950162,-2.114285,-0.036095,2.255903,2.068478,2.578512,1.000000,1.000000,0.000000,0.000000,0.000000
49,2052,"CHARACTER\HUMAN\MALE\HUMANMALE.M2",1,1.000000,1,1,12.000000,10.000000,1.000000,0,0,0,49,0.611112,2.031280,1.036180,-0.576852,-0.544345,-0.012980,0.368064,0.535902,2.129199,1.000000,1.000000,0.000000,0.000000,0.000000
50,2052,"CHARACTER\HUMAN\FEMALE\HUMANFEMALE.M2",1,1.000000,1,1,12.000000,10.000000,1.000000,0,0,0,50,0.416666,1.913450,1.002637,-0.554002,-0.359899,-0.002056,0.275934,0.370545,1.925036,1.000000,1.000000,0.000000,0.000000,0.000000
51,2052,"CHARACTER\ORC\MALE\ORCMALE.M2",1,1.000000,1,1,14.000000,14.000000,1.000000,0,0,0,51,0.611112,2.031280,1.117047,-0.733454,-0.874348,-0.020740,0.745384,0.853490,2.416417,1.000000,1.000000,0.000000,0.000000,0.000000
52,2052,"CHARACTER\ORC\FEMALE\ORCFEMALE.M2",1,1.000000,1,1,12.000000,11.000000,1.000000,0,0,0,52,0.611112,2.031280,1.111886,-0.735923,-0.524625,-0.010865,0.303421,0.525527,2.148304,1.000000,1.000000,0.000000,0.000000,0.000000
53,2052,"CHARACTER\DWARF\MALE\DWARFMALE.M2",1,1.000000,1,1,12.000000,10.000000,1.000000,0,0,0,53,0.611112,1.606600,0.724923,-0.639464,-0.640762,-0.029354,0.400686,0.607293,1.596981,1.000000,1.000000,0.000000,0.000000,0.000000
54,2052,"CHARACTER\DWARF\FEMALE\DWARFFEMALE.M2",1,1.000000,1,1,12.000000,10.000000,1.000000,0,0,0,54,0.444445,1.527780,0.680555,-0.490628,-0.466469,-0.011875,0.258263,0.471742,1.574490,1.000000,1.000000,0.000000,0.000000,0.000000
55,2052,"CHARACTER\NIGHTELF\MALE\NIGHTELFMALE.M2",1,1.000000,1,1,12.000000,10.000000,1.000000,0,0,0,55,0.777778,2.438080,1.300954,-0.713768,-0.617813,-0.011990,0.303064,0.637029,2.594933,1.000000,1.000000,0.000000,0.000000,0.000000
56,2052,"CHARACTER\NIGHTELF\FEMALE\NIGHTELFFEMALE.M2",1,1.000000,1,1,12.000000,10.000000,1.000000,0,0,0,56,0.555556,2.250000,1.334738,-0.651848,-0.388641,-0.010614,0.345431,0.590205,2.357011,1.000000,1.000000,0.000000,0.000000,0.000000
57,2052,"CHARACTER\SCOURGE\MALE\SCOURGEMALE.M2",1,1.000000,2,1,12.000000,10.000000,1.000000,0,0,0,57,0.694444,1.861110,1.078235,-0.823059,-0.530634,-0.010859,0.406106,0.463428,2.101367,1.000000,1.000000,0.000000,0.000000,0.000000
58,2052,"CHARACTER\SCOURGE\FEMALE\SCOURGEFEMALE.M2",1,1.000000,2,1,12.000000,10.000000,1.000000,0,0,0,58,0.416666,1.843870,0.970545,-0.509509,-0.442011,-0.003772,0.414870,0.431287,2.054849,1.000000,1.000000,0.000000,0.000000,0.000000
59,2052,"CHARACTER\TAUREN\MALE\TAURENMALE.M2",1,1.000000,1,3,22.000000,16.000000,2.000000,0,0,0,59,0.611112,2.031280,0.987214,-1.070676,-0.868193,-0.011650,0.987771,0.858476,2.248813,1.000000,1.000000,0.000000,0.000000,0.000000
60,2052,"CHARACTER\TAUREN\FEMALE\TAURENFEMALE.M2",1,1.250000,1,3,20.000000,14.000000,2.000000,0,0,0,60,0.666666,2.111110,1.023314,-0.897799,-0.664422,-0.003575,0.540799,0.664422,2.265237,1.000000,1.000000,0.000000,0.000000,0.000000
61,12298,"CREATURE\CARRIONBIRD\CARRIONBIRD.M2",0,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,61,0.611112,2.031280,0.000000,-2.152836,-2.981109,0.374427,1.676888,3.062344,6.303791,0.600000,1.000000,0.000000,0.000000,0.000000
62,12296,"CREATURE\HYDRA\HYDRA.M2",3,1.000000,1,1,18.000000,12.000000,1.000000,0,0,10,62,0.611112,2.031280,0.000000,-6.072165,-2.778265,-0.194536,2.309946,4.293607,4.740297,1.000000,1.000000,0.000000,0.000000,0.000000
63,12290,"CREATURE\TARANTULA\TARANTULA.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,63,0.611112,2.031280,0.000000,-2.262889,-3.051109,-0.024284,2.927909,3.043403,2.577806,1.000000,1.000000,0.000000,0.000000,0.000000
64,2,,1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,64,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
65,4096,"CREATURE\HORSE\HORSE.M2",1,1.000000,1,6,18.000000,12.000000,1.000000,0,0,0,65,0.611112,2.031280,1.991094,-1.516011,-0.424994,-0.020026,1.732964,0.395878,2.585691,1.000000,1.000000,0.000000,0.000000,0.000000
66,4096,"CREATURE\BOAR\BOAR.M2",0,1.000000,1,3,9.000000,6.000000,1.000000,0,0,0,66,0.611200,2.031000,0.000000,-1.156953,-0.450194,-0.028118,1.782699,0.452030,2.093894,1.000000,1.000000,0.000000,0.000000,0.000000
67,16,"CREATURE\ANCIENTPROTECTOR\ANCIENTPROTECTOR.M2",3,1.000000,2,3,18.000000,12.000000,1.000000,0,1,11,67,0.611112,2.031280,0.000000,-1.836897,-2.812587,-0.032683,2.672276,2.977184,6.281038,0.800000,0.500000,0.000000,0.000000,0.000000
68,0,"CREATURE\DOOMGUARD\DOOMGUARD.M2",1,1.000000,1,3,18.000000,12.000000,1.000000,0,0,0,68,0.611112,2.031280,0.000000,-2.313406,-2.171469,0.018266,0.778068,2.214884,4.178378,1.000000,1.000000,0.000000,0.000000,0.000000
69,3,"CREATURE\ELEMENTALEARTH\ELEMENTALEARTH.M2",1,1.000000,1,3,18.000000,12.000000,1.000000,0,0,0,69,0.611112,2.031280,0.000000,-1.859194,-2.296979,-0.131291,1.863204,2.178640,3.328697,0.300000,1.000000,0.000000,0.000000,0.000000
70,2,"CREATURE\SKELETON\SKELETON.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,70,0.611112,2.031280,1.391404,-0.606957,-0.747482,-0.016811,0.530460,0.665247,1.987400,1.000000,1.000000,0.000000,0.000000,0.000000
71,8194,"CREATURE\GOLEMHARVEST\GOLEMHARVEST.M2",1,1.000000,3,1,18.000000,12.000000,1.000000,0,0,0,71,0.611200,2.031000,0.000000,-1.073586,-1.481991,-0.005854,0.728422,1.460348,3.381757,1.000000,1.000000,0.000000,0.000000,0.000000
72,2,"CREATURE\GOLEMHARVESTSTAGE2\GOLEMHARVESTSTAGE2.M2",1,1.000000,3,1,18.000000,12.000000,1.000000,0,0,0,72,0.611112,2.031280,0.000000,-1.026669,-1.415597,0.000997,0.595842,1.425137,3.007038,1.000000,1.000000,0.000000,0.000000,0.000000
73,4097,"CREATURE\DIREWOLF\DIREWOLF.M2",1,1.000000,1,7,6.000000,4.000000,1.000000,0,0,0,73,0.611112,2.031280,1.399111,-2.152961,-0.575959,-0.140682,1.589405,0.546911,1.879035,1.000000,1.000000,0.000000,0.000000,0.000000
74,0,"CREATURE\HUMANMALEPEASANT\HUMANMALEPEASANT.M2",1,1.000000,1,4,12.000000,10.000000,1.000000,0,0,0,74,0.611112,2.031280,0.000000,-0.370568,-0.540429,0.000587,0.440365,0.560497,1.831964,1.000000,1.000000,0.000000,0.000000,0.000000
75,4097,"CREATURE\WINDSERPENT\WINDSERPENT.M2",2,1.000000,1,5,18.000000,12.000000,1.000000,0,0,0,75,0.611200,2.031000,0.000000,-5.098210,-2.802927,0.012658,2.724665,2.566063,5.167276,1.000000,1.000000,0.000000,0.000000,0.000000
76,12297,"CREATURE\FRENZY\FRENZY.M2",1,1.000000,1,0,18.000000,12.000000,1.000000,0,0,0,76,0.611200,2.031000,0.000000,-1.521240,-0.791052,0.012092,1.031662,1.063799,1.454085,1.000000,1.000000,0.000000,0.000000,0.000000
77,0,"CREATURE\DRYAD\DRYAD.M2",1,1.000000,1,6,18.000000,12.000000,1.000000,0,0,0,77,0.611200,2.031000,0.000000,-0.984859,-0.581058,-0.011109,1.062566,0.436618,2.434479,1.000000,1.000000,0.000000,0.000000,0.000000
78,0,"CREATURE\SATYR\SATYR.M2",1,1.000000,1,3,18.000000,12.000000,1.000000,0,0,0,78,0.611200,2.031000,0.000000,-1.870011,-0.922140,-0.004847,0.315880,0.917493,2.770433,1.000000,1.000000,0.000000,0.000000,0.000000
79,0,"CREATURE\HUMANMALEKID\HUMANMALEKID.M2",1,1.000000,1,4,18.000000,12.000000,1.000000,0,0,0,79,0.611200,2.031000,0.000000,-0.169948,-0.254709,0.007144,0.212211,0.256330,1.301312,1.000000,1.000000,0.000000,0.000000,0.000000
80,0,"CREATURE\HUMANFEMALEKID\HUMANFEMALEKID.M2",1,1.000000,1,4,18.000000,12.000000,1.000000,0,0,0,80,0.611112,2.031280,0.000000,-0.162359,-0.208797,-0.001194,0.089624,0.201047,1.163888,1.000000,1.000000,0.000000,0.000000,0.000000
81,4099,"CREATURE\SLIME\SLIME.M2",1,1.000000,2,0,18.000000,12.000000,1.000000,0,0,0,81,0.611112,2.031280,0.000000,-2.439453,-1.428156,-0.030306,1.089217,1.410892,1.842286,1.000000,1.000000,0.000000,0.000000,0.000000
82,4112,"CREATURE\TIGER\TIGER.M2",1,1.000000,1,7,18.000000,12.000000,1.000000,0,0,0,82,0.611112,2.031280,1.241372,-2.428365,-0.658701,-0.006203,1.029503,0.533702,1.268102,1.000000,1.000000,0.000000,0.000000,0.000000
83,0,"CREATURE\BEAR\BEAR.M2",1,1.000000,1,7,18.000000,12.000000,1.000000,0,0,0,83,0.611200,2.031000,1.761474,-1.657582,-0.925305,-0.058710,1.685014,0.867246,1.845206,1.000000,1.000000,0.000000,0.000000,0.000000
84,8194,"CREATURE\GOLEMSTONE\GOLEMSTONE.M2",1,1.000000,3,0,18.000000,12.000000,1.000000,0,0,10,84,0.611112,2.031280,0.000000,-1.011354,-2.025661,-0.067876,2.028735,1.720080,3.348155,1.000000,1.000000,0.000000,0.000000,0.000000
85,4097,"CREATURE\WYVERN\WYVERN.M2",1,1.000000,1,0,18.000000,12.000000,1.000000,0,0,0,85,0.611112,2.031280,1.193891,-3.258461,-5.229759,0.849886,3.439852,5.235108,7.616106,1.000000,1.000000,0.000000,0.000000,0.000000
86,0,"CREATURE\HUMANMALEPEASANT\HUMANMALEPEASANTAXE.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,86,0.611112,2.031280,0.000000,-0.370568,-0.540429,0.000587,0.440365,0.560497,1.831964,1.000000,1.000000,0.000000,0.000000,0.000000
87,0,"CREATURE\HUMANMALEPEASANT\HUMANMALEPEASANTGOLD.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,87,0.509700,2.031000,0.000000,-0.991776,-0.527034,0.000585,0.440351,0.523597,1.760418,1.000000,1.000000,0.000000,0.000000,0.000000
88,0,"CREATURE\HUMANMALEPEASANT\HUMANMALEPEASANTPICK.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,88,0.611112,2.031280,0.000000,-0.432397,-0.540428,-0.001787,0.826877,0.575359,1.828942,1.000000,1.000000,0.000000,0.000000,0.000000
89,0,"CREATURE\HUMANMALEPEASANT\HUMANMALEPEASANTWOOD.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,89,0.611112,2.031280,0.000000,-0.527288,-0.640410,0.000655,0.578919,0.545234,2.122705,1.000000,1.000000,0.000000,0.000000,0.000000
90,12297,"CREATURE\HIPPOGRYPH\HIPPOGRYPH.M2",2,1.000000,1,0,18.000000,12.000000,1.000000,0,0,0,90,0.611200,2.031000,1.656586,-2.877178,-3.743629,0.039645,2.177575,3.763380,5.156446,1.000000,1.000000,0.000000,0.000000,0.000000
91,4097,"CREATURE\SILITHIDTANK\SILITHIDTANK.M2",1,1.000000,1,1,1.000000,1.000000,1.000000,0,0,0,91,0.611112,2.031280,0.000000,-2.460755,-1.440653,-0.043356,1.368367,1.772471,3.220704,1.000000,1.000000,0.000000,0.000000,0.000000
92,4099,"CREATURE\SILITHIDWASP\SILITHIDWASP.M2",1,1.000000,1,0,18.000000,12.000000,1.000000,0,0,0,92,0.611112,2.031280,2.764921,-1.944304,-2.610170,0.160823,2.338802,2.484161,5.967974,1.000000,1.000000,0.000000,0.000000,0.000000
93,0,"CREATURE\HUMANFEMALEBLACKSMITH\HUMANFEMALEBLACKSMITH.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,93,0.472200,1.944000,0.000000,-0.269897,-0.316466,-0.004714,0.246695,0.328929,1.897014,1.000000,1.000000,0.000000,0.000000,0.000000
94,0,"CREATURE\HUMANFEMALEFARMER\HUMANFEMALEFARMER.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,94,0.611112,2.031280,0.000000,-0.529582,-0.427913,-0.004570,0.245354,0.435132,1.883839,1.000000,1.000000,0.000000,0.000000,0.000000
95,0,"CREATURE\HUMANFEMALEMERCHANTFAT\HUMANFEMALEMERCHANTFAT.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,95,0.611200,2.031000,0.000000,-0.316277,-0.369578,-0.008559,0.260954,0.463854,2.022604,1.000000,1.000000,0.000000,0.000000,0.000000
96,0,"CREATURE\HUMANFEMALEMERCHANTTHIN\HUMANFEMALEMERCHANTTHIN.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,96,0.555600,1.944000,0.000000,-0.333600,-0.369577,-0.008558,0.249117,0.403831,1.872996,1.000000,1.000000,0.000000,0.000000,0.000000
97,0,"CREATURE\HUMANFEMALEPEASANT\HUMANFEMALEPEASANT.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,97,0.416600,1.913000,0.000000,-0.300864,-0.330077,-0.001708,0.333066,0.421097,1.889445,1.000000,1.000000,0.000000,0.000000,0.000000
98,0,"CREATURE\HUMANFEMALEWARRIORHEAVY\HUMANFEMALEWARRIORHEAVY.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,98,0.416600,1.913000,0.000000,-0.281995,-0.342848,-0.002671,0.246974,0.343207,1.913336,1.000000,1.000000,0.000000,0.000000,0.000000
99,0,"CREATURE\HUMANFEMALEWARRIORLIGHT\HUMANFEMALEWARRIORLIGHT.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,99,0.416600,1.913000,0.000000,-0.322469,-0.319104,-0.001459,0.288641,0.329237,1.895215,1.000000,1.000000,0.000000,0.000000,0.000000
100,0,"CREATURE\HUMANFEMALEWARRIORMEDIUM\HUMANFEMALEWARRIORMEDIUM.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,100,0.416600,1.913000,0.000000,-0.271689,-0.325399,-0.001459,0.243055,0.329237,1.895229,1.000000,1.000000,0.000000,0.000000,0.000000
101,0,"CREATURE\HUMANMALEBLACKSMITH\HUMANMALEBLACKSMITH.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,101,0.694400,2.056000,0.000000,-0.360743,-0.664335,-0.002381,0.438553,0.542029,2.007537,1.000000,1.000000,0.000000,0.000000,0.000000
