int,int,int,int,float,int,int,int,int,int,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,float,float,int
111,0,40,198,2.000015,0,11,0,9,0,12,"Jangolode Mine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
113,0,40,576,2.000015,0,11,0,9,0,15,"Gold Coast Quarry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
115,0,40,199,2.000015,0,11,24,9,0,17,"Westfall Lighthouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
116,0,8,200,2.000015,0,11,0,0,0,39,"Misty Valley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
117,0,33,629,2.500015,0,11,0,228,0,35,"Grom'gol Base Camp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
118,0,11,201,2.000015,0,11,0,191,0,22,"Whelgar's Excavation Site",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
120,0,12,559,2.500015,0,11,35,0,0,8,"Westbrook Garrison",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
121,0,10,202,2.000015,0,11,0,15,0,28,"Tranquil Gardens Cemetery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
122,0,33,203,2.000015,0,11,0,3,0,37,"Zuuldaia Ruins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
123,0,33,204,2.000015,0,11,0,3,0,34,"Bal'lal Ruins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
125,0,33,205,2.000015,0,11,0,3,0,35,"Kal'ai Ruins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
126,0,33,206,2.000015,0,11,0,3,0,0,"Tkashi Ruins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
127,0,33,207,2.000015,0,11,0,3,0,40,"Balia'mah Ruins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
128,0,33,208,2.000015,0,11,0,3,0,36,"Ziata'jai Ruins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
129,0,33,209,2.000015,0,11,0,3,0,37,"Mizjah Ruins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
130,0,0,210,0.000000,0,11,28,2,0,0,"Silverpine Forest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,4,0,0,0,0,-500.000000,0.400000,0
131,0,1,211,2.750015,0,11,0,0,0,5,"Kharanos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
132,0,1,212,2.250000,0,11,0,0,0,0,"Coldridge Valley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
133,0,1,213,2.000015,0,11,42,8,0,10,"Gnomeregan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
134,0,1,214,2.000015,0,11,0,8,0,10,"Gol'Bolar Quarry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
135,0,1,215,2.000015,0,11,0,0,121,7,"Frostmane Hold",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
136,0,1,216,2.000015,0,11,0,0,0,5,"The Grizzled Den",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
137,0,1,217,2.500015,0,11,0,0,0,7,"Brewnall Village",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
138,0,1,218,2.000015,0,11,0,8,0,7,"Misty Pine Refuge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
139,0,0,219,0.000000,0,11,37,205,0,0,"Eastern Plaguelands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.500000,0
141,1,0,220,0.000000,0,11,48,11,0,0,"Teldrassil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,2,0,0,0,0,-500.000000,0.400000,0
142,0,38,221,2.000015,0,11,0,1,0,15,"Ironband's Excavation Site",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
143,0,38,222,2.000015,0,11,0,14,0,18,"Mo'grosh Stronghold",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
144,0,38,223,2.750015,0,11,0,1,0,10,"Thelsamar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
145,0,38,224,2.000015,0,11,0,1,0,18,"Algaz Gate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
146,0,38,225,2.500015,0,11,230,1,0,15,"Stonewrought Dam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
147,0,38,226,2.000015,0,11,0,1,0,15,"The Farstrider Lodge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
148,1,0,227,0.000000,0,11,28,191,0,0,"Darkshore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,2,0,0,0,0,-500.000000,0.600000,0
149,0,38,228,2.000015,0,11,0,1,0,12,"Silver Stream Mine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
150,0,11,229,2.500015,0,11,0,191,0,20,"Menethil Harbor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
151,451,0,560,0.000000,0,11,47,226,0,0,"Designer Island",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
152,0,85,230,2.500015,0,11,0,2,0,9,"The Bulwark",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
153,0,85,607,2.000015,0,11,0,2,0,10,"Ruins of Lordaeron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
154,0,85,231,2.750000,0,11,0,15,0,0,"Deathknell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
155,0,85,232,2.000000,0,11,0,2,0,0,"Night Web's Hollow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
156,0,85,233,2.000015,0,11,0,2,0,6,"Solliden Farmstead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
157,0,85,234,2.000015,0,11,0,15,0,8,"Agamand Mills",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
158,0,85,235,2.000015,0,11,0,15,0,0,"Agamand Family Crypt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
159,0,85,236,2.750015,0,11,0,15,0,5,"Brill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
160,0,85,237,2.000015,0,11,0,2,0,12,"Whispering Gardens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
161,0,85,238,2.000015,0,11,0,2,0,10,"Terrace of Repose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
162,0,85,239,2.000015,0,11,0,2,0,7,"Brightwater Lake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
163,0,85,240,2.000015,0,11,0,2,0,0,"Gunther's Retreat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
164,0,85,241,2.000015,0,11,0,2,0,7,"Garren's Haunt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
165,0,85,242,2.000015,0,11,0,15,0,5,"Balnir Farmstead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
166,0,85,243,2.000015,0,11,0,2,0,5,"Cold Hearth Manor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
167,0,85,244,2.000015,0,11,0,2,0,8,"Crusader Outpost",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
168,0,85,245,2.000015,0,11,0,2,0,0,"The North Coast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
169,0,85,577,2.000015,0,11,0,0,0,0,"Whispering Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
