int,int,int,int,int,int,int,int
3,1,4,0,5,0,0,0
3,1,5,0,6,0,0,0
6,1,4,0,0,5,0,0
7,1,1,0,0,2,0,0
7,1,6,0,0,7,0,0
7,1,2,0,0,3,0,0
7,1,5,0,0,6,0,0
7,1,4,0,0,5,0,0
7,1,3,0,0,4,0,0
8,0,5,0,2,0,0,0
8,0,6,0,3,0,0,0
8,0,7,0,4,0,0,0
8,0,8,0,5,0,0,0
8,0,9,0,6,0,0,0
8,0,10,0,4,0,0,0
8,1,5,0,7,0,0,0
10,1,0,0,0,0,0,2
11,0,4,5,0,4,0,0
11,0,0,1,0,0,0,0
11,0,1,2,0,0,0,0
11,0,2,3,0,2,0,0
12,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0
11,0,3,4,0,3,0,0
11,0,5,6,0,5,0,0
11,0,6,7,0,6,0,0
11,0,7,8,0,0,0,0
11,1,2,4,0,0,0,0
11,1,3,5,0,0,0,0
11,1,4,6,0,0,0,0
11,1,5,7,0,0,0,0
11,1,6,8,0,0,0,0
13,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0
14,1,0,0,0,0,0,0
15,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0
11,1,1,3,0,0,0,0
11,1,0,2,0,0,0,0
10,0,0,0,0,0,0,2
10,1,2,0,3,0,0,2
10,1,3,0,4,0,0,2
10,1,4,0,5,0,0,2
10,1,5,0,6,0,0,2
10,1,6,0,7,0,0,2
10,1,7,0,8,0,0,2
10,1,8,0,9,0,0,2
10,1,9,0,10,0,0,2
10,1,10,0,11,0,0,2
10,0,1,2,0,0,0,2
10,0,2,3,0,0,0,2
10,0,3,4,0,0,0,2
10,0,4,5,0,0,0,2
10,0,5,6,0,0,0,2
10,0,6,7,0,0,0,2
10,0,7,8,0,0,0,2
10,0,8,9,0,0,0,2
10,0,9,10,0,0,0,2
10,1,1,0,2,0,0,2
16,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0
17,0,6,8,0,0,0,0
17,1,0,0,0,0,0,0
16,0,1,2,0,0,0,0
16,0,2,3,0,0,0,0
16,0,3,4,0,0,0,0
16,0,4,5,0,0,0,0
16,0,5,6,0,0,0,0
18,1,0,0,0,0,-858993460,-858993460
18,0,0,0,2,0,0,0
18,0,10,0,4,0,0,0
18,0,1,0,3,0,0,0
18,0,2,0,4,0,0,0
8,0,3,0,5,0,0,0
18,0,4,0,6,0,0,0
18,0,5,0,2,0,0,0
18,0,6,0,3,0,0,0
18,0,7,0,4,0,0,0
18,0,8,0,5,0,0,0
18,0,9,0,6,0,0,0
17,0,1,3,0,0,0,0
17,0,2,4,0,0,0,0
17,0,0,2,0,0,0,0
17,0,4,6,0,0,0,0
17,0,3,5,0,0,0,0
17,0,5,7,0,0,0,0
19,1,0,0,0,0,0,0
19,0,0,2,0,0,0,0
19,0,1,3,0,0,0,0
19,0,2,4,0,0,0,0
20,0,1,1,0,0,0,0
20,1,0,0,0,0,0,0
21,0,0,0,2,0,0,0
21,1,0,0,0,0,0,0
21,0,1,0,3,0,0,0
21,0,2,0,4,0,0,0
21,0,3,0,5,0,0,0
21,0,4,0,6,0,0,0
20,0,2,2,0,0,0,0
20,0,3,3,0,0,0,0
20,0,4,4,0,0,0,0
20,0,0,0,0,0,0,0
22,0,0,0,0,2,0,0
22,1,0,0,0,2,0,0
9,1,0,6,11,2,0,0
9,1,1,5,10,3,0,0
9,1,2,2,9,4,0,0
9,1,3,3,8,5,0,0
9,1,4,2,7,6,0,0
9,1,5,5,6,7,0,0
9,1,6,4,5,8,0,0
9,1,7,3,4,9,0,0
9,1,8,2,3,10,0,0
9,1,9,5,2,11,0,0
9,1,10,4,11,12,0,0
9,1,11,3,10,13,0,0
9,0,0,6,11,2,0,0
9,0,2,2,9,4,0,0
9,0,3,3,8,5,0,0
9,0,1,5,10,3,0,0
9,0,8,2,3,10,0,0
9,0,4,2,7,6,0,0
9,0,5,5,6,7,0,0
9,0,6,4,5,8,0,0
9,0,7,3,4,9,0,0
9,0,10,4,11,12,0,0
9,0,9,5,2,11,0,0
9,0,11,3,10,13,0,0
9,0,13,6,8,3,0,0
9,0,14,5,7,4,0,0
9,0,18,6,3,8,0,0
9,0,17,4,4,7,0,0
9,0,16,3,5,6,0,0
9,0,22,3,9,12,0,0
9,0,24,2,7,13,0,0
9,0,21,2,10,11,0,0
9,0,19,5,2,9,0,0
9,0,23,5,8,13,0,0
9,0,20,4,11,10,0,0
9,0,15,4,6,5,0,0
9,0,12,5,9,2,0,0
9,1,13,6,8,3,0,0
9,1,12,5,9,2,0,0
9,1,15,4,6,5,0,0
9,1,14,5,7,4,0,0
9,1,17,4,4,7,0,0
9,1,16,3,5,6,0,0
9,1,18,6,3,8,0,0
9,1,23,5,8,13,0,0
9,1,19,5,2,9,0,0
9,1,20,4,11,10,0,0
9,1,21,2,10,11,0,0
9,1,22,3,9,12,0,0
9,1,24,6,6,6,0,0
23,0,0,1,1,1,0,0
23,0,1,1,2,1,0,0
23,0,2,1,2,1,0,0
23,0,3,2,1,2,0,0
23,0,4,2,2,2,0,0
23,0,5,1,2,2,0,0
23,0,6,2,2,1,0,0
23,0,7,1,2,1,0,0
23,0,8,1,1,1,0,0
23,1,0,0,0,0,0,0
23,1,1,0,2,0,0,0
23,1,2,0,3,0,0,0
23,1,3,0,4,0,0,0
23,1,4,0,5,0,0,0
23,1,5,0,6,0,0,0
23,1,6,0,7,0,0,0
22,0,1,2,0,3,0,0
22,0,4,5,0,6,0,0
22,0,2,3,0,4,0,0
22,0,3,4,0,5,0,0
22,0,6,7,0,8,0,0
22,0,5,6,0,7,0,0
22,0,7,8,0,9,0,0
22,0,8,9,0,10,0,0
22,0,9,10,0,11,0,0
22,0,10,11,0,12,0,0
22,0,11,12,0,13,0,0
22,0,12,2,0,13,0,0
22,0,13,3,0,12,0,0
22,0,14,4,0,11,0,0
22,0,15,5,0,10,0,0
22,0,17,7,0,8,0,0
22,0,18,8,0,7,0,0
22,0,19,9,0,6,0,0
22,0,20,10,0,5,0,0
22,0,21,11,0,4,0,0
22,0,22,12,0,3,0,0
22,0,23,13,0,2,0,0
22,1,1,0,0,3,0,0
22,1,2,0,0,4,0,0
22,1,3,0,0,5,0,0
22,1,4,0,0,6,0,0
22,1,5,0,0,7,0,0
22,1,6,0,0,8,0,0
22,1,7,0,0,9,0,0
22,1,8,0,0,10,0,0
22,1,9,0,0,11,0,0
22,1,10,0,0,12,0,0
22,1,11,0,0,13,0,0
22,0,16,5,0,3,0,0
